uuid	legacy_id	name	parent_function_uuid	entry_date	parent_function_label
85d62046-5521-5150-aa23-799de39d44f9	79	Collecta		2026-04-27T09:20:57.716026+00:00	
8a551664-0197-561e-a7c4-985e3885ee36	80	Secreta		2026-04-27T09:20:57.716026+00:00	
78b14408-4168-5132-8907-0d8ff0e5125b	81	Prefatio		2026-04-27T09:20:57.716026+00:00	
61bad553-291a-5418-a85c-5cf985aa6bb6	82	Ad complendum		2026-04-27T09:20:57.716026+00:00	
67169a52-dd74-5251-996e-ad5d6452a2a4	83	Martirologium		2026-04-27T09:20:57.716026+00:00	
85d92a63-9de1-59ed-abd6-ff86c5ad0775	84	Canon missae		2026-04-27T09:20:57.716026+00:00	
20ecc68d-93aa-50ff-9a37-311ed2b9d8a5	200	Agnus dei		2026-04-27T09:20:57.716026+00:00	
5b862641-c068-53c9-b82a-60b7a1ab60c0	86	Communicantes		2026-04-27T09:20:57.716026+00:00	
c34b2b9d-1b4a-57b8-97f9-33382d9169a4	87	Super populum		2026-04-27T09:20:57.716026+00:00	
26be254c-b6f0-5ce7-9784-ae28ffc1422a	88	Benedictio		2026-04-27T09:20:57.716026+00:00	
e16effca-9eff-553d-b116-20153a6d66c0	89	Capitulum		2026-04-27T09:20:57.716026+00:00	
f242f6a7-5d4a-5aad-8f67-a367c3048a65	199	Sanctus		2026-04-27T09:20:57.716026+00:00	
8517d380-a8d8-5904-85dd-35bf401c37bb	91	Antiphona		2026-04-27T09:20:57.716026+00:00	
bc1353d6-76bf-5d6e-84ae-0c806c134972	92	Versus		2026-04-27T09:20:57.716026+00:00	
2792ddc3-0938-53de-be3f-ff309f6db55f	93	Psalmus		2026-04-27T09:20:57.716026+00:00	
742ef83f-bba0-578a-9fec-12dc4f381db9	94	Infra actionem	85d92a63-9de1-59ed-abd6-ff86c5ad0775	2026-04-27T09:20:57.716026+00:00	Canon missae
342b2ed6-243b-5c1c-9772-aedb00f7d356	95	Calendarium		2026-04-27T09:20:57.716026+00:00	
43ea80cf-0ff7-59ba-83fd-5ef68df59d86	96	Oratio		2026-04-27T09:20:57.716026+00:00	
a4f9903a-ed3a-5bca-9702-1162cee9c025	97	Exsultet		2026-04-27T09:20:57.716026+00:00	
5b1dd357-3f9c-53cf-adca-6e4964ed2c7a	98	Lectio		2026-04-27T09:20:57.716026+00:00	
ada618ca-d283-5de4-bfdc-93840701f781	99	Prophetia	5b1dd357-3f9c-53cf-adca-6e4964ed2c7a	2026-04-27T09:20:57.716026+00:00	Lectio
c03ce81f-69ce-5098-9404-731b9af7be5b	100	Post communionem		2026-04-27T09:20:57.716026+00:00	
8cbddc48-7f1b-5c37-aa0f-96e4734c1bc0	101	Ad populum		2026-04-27T09:20:57.716026+00:00	
4d3fb3a2-2289-59c5-89da-1d93e3378335	102	Exorcismus		2026-04-27T09:20:57.716026+00:00	
3f1bba8f-12d4-543a-a22f-9f6e7fc5aab2	103	Ordo paenitentiae		2026-04-27T09:20:57.716026+00:00	
682140b6-b70b-5e69-bb62-e4755de0de46	104	Ordo de feria quinta		2026-04-27T09:20:57.716026+00:00	
bef50eaa-709b-596b-b38b-e9f049c4026a	105	Ordo de feria sexta		2026-04-27T09:20:57.716026+00:00	
4414140b-3f48-5d0d-8855-9705a92ba6c3	106	Oratio sollemnis		2026-04-27T09:20:57.716026+00:00	
f6bb04fb-8a8a-5ae5-ad08-213c920b4cd8	107	Ordo baptismi		2026-04-27T09:20:57.716026+00:00	
9362f018-e302-5813-936a-9fb0d74ea632	108	Ordo de sabbato sancto		2026-04-27T09:20:57.716026+00:00	
0acb3c1c-e7e1-536f-9cae-59e6fb971b6e	109	Ordinatio		2026-04-27T09:20:57.716026+00:00	
08bdd6b5-eab2-5c0e-b9f2-89d94baa8ebc	110	Hanc igitur		2026-04-27T09:20:57.716026+00:00	
ad4b823f-352d-530b-9ce9-71f7acc782de	111	Memento		2026-04-27T09:20:57.716026+00:00	
877cd3c6-08f4-5867-870d-7aa8ddf15866	112	Expositio euangeliorum		2026-04-27T09:20:57.716026+00:00	
07df4693-a990-5d03-9d30-57feed53a512	113	Expositio praefatio symboli		2026-04-27T09:20:57.716026+00:00	
35ea6102-8368-500a-be44-7cf549b27e0d	203	Pater noster		2026-04-27T09:20:57.716026+00:00	
6017e1bb-7bfc-54ca-aea4-02451554caf0	115	Qui pridie		2026-04-27T09:20:57.716026+00:00	
bf3796c7-5587-5164-bd37-a0528c8bd190	116	Consecratio		2026-04-27T09:20:57.716026+00:00	
abc0cdf1-825b-5170-b3cf-f1ed53891766	117	Sursum corda		2026-04-27T09:20:57.716026+00:00	
d0c2a785-0055-5aa0-a2f6-b820ae15afa9	118	Uere dignum et iustum est		2026-04-27T09:20:57.716026+00:00	
e6959a49-e2b2-5c41-8bfe-5d3f321e5a54	119	Te igitur		2026-04-27T09:20:57.716026+00:00	
dc87e560-2e17-5c26-8a7b-ee978d573c00	120	Memento Domine		2026-04-27T09:20:57.716026+00:00	
