uuid	legacy_id	short_name	name	entry_date	types_uuids	layers_uuids	types_labels	layers_labels
1c133955-622c-5870-a291-37000130bf38		Post Pridie	Post Pridie	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
c9e04fd9-d3b7-5fe1-925b-53870dadcf0a		Ad orationem dominicam	Ad orationem dominicam	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
0cf7f70d-1834-5b87-bf71-f560d18ae754		Benedictio	Benedictio	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
1d8d048a-f48d-580c-be70-f89e3cb83c4a		Collectio	Collectio	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
c6f10ba1-c513-5b8f-aedb-a109a1e6f92d		Post prophetiam	Post prophetiam	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
3501b9b1-2eba-596a-ba2d-c98f10000820		Post precem	Post precem	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
1d08ab4e-a9e9-5610-abe7-3d42b00cbd77		Post Aius	Post Aius	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
8a04b202-d0a9-5a34-9015-4330aa8609e5		Ante nomina	Ante nomina	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
aa7b0e45-0301-5077-80ae-78fe03654f5c		Super oblata	Super oblata	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
11b579fe-649c-5bbf-8058-b1c4e8694fee		Secreta	Secreta	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
